paese,isrc,uri,genres,danceability,energy,speechiness,acousticness,instrumentalness,valence,tempo
Arabia_Saudita,USUG12400910,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",0.898,0.472,0.0776,0.0107,0,0.214,101.061
Arabia_Saudita,USUM72403305,spotify:track:2qSkIjg1o9h3YT9RAgYN75,['pop'],0.701,0.76,0.0285,0.107,6.54e-05,0.69,103.969
Arabia_Saudita,USA2P2251865,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,['k-pop'],0.629,0.733,0.0419,0.0025,0,0.362,120.001
Arabia_Saudita,GBKPL2205058,spotify:track:3qhlB30KknSejmIvZZLjOD,"['pov: indie', 'psychedelic pop']",0.689,0.454,0.0584,0.0351,0.00259,0.912,159.982
Arabia_Saudita,USUM72401988,spotify:track:7BRD7x5pt8Lqa1eGYC4dzj,"['art pop', 'pop']",0.7,0.425,0.0529,0.144,0.879,0.521,110.015
Arabia_Saudita,USUM72401996,spotify:track:2prqm9sPLj10B4Wg0wE5x9,"['art pop', 'pop']",0.349,0.337,0.0407,0.29,0.172,0.0365,142.01
Arabia_Saudita,USUM72401991,spotify:track:629DixmZGHc7ILtEntuiWE,"['art pop', 'pop']",0.893,0.4,0.0643,0.0452,0.0823,0.945,124.987
Arabia_Saudita,QZJ842400387,spotify:track:2GxrNKugF82CnoRFbQfzPf,[],0.599,0.946,0.0447,0.000938,0.0106,0.747,151.647
Arabia_Saudita,QZL382406049,spotify:track:6XjDF6nds4DE2BBbagZol6,['reggaeton chileno'],0.791,0.499,0.0509,0.446,2.41e-05,0.669,99.986
Arabia_Saudita,QM24S2402528,spotify:track:7fzHQizxTqy8wTXwlrgPQQ,['chill abstract hip hop'],0.849,0.699,0.0436,0.0982,0.000215,0.927,138.003
Arabia_Saudita,USUM72401994,spotify:track:6dOtVTDdiauQNBQEDOtlAB,"['art pop', 'pop']",0.747,0.507,0.0358,0.2,0.0608,0.438,104.978
Arabia_Saudita,USA2P2339030,spotify:track:2N0SPREDYqILVEFSsWF5N5,"['j-division', 'korean ost']",0.633,0.607,0.0532,0.183,1.38e-06,0.363,74.029
