isrc,uri,titolo,artista,pubblicazione
QZJ842400387,spotify:track:2GxrNKugF82CnoRFbQfzPf,i like the way you kiss me,Artemas,2024-03-19
USSM12401865,spotify:track:0AjmK0Eai4zGrLaJwPvrDp,Too Sweet,Hozier,2024-03-22
USWB12307016,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,2024-04-05
GBKPL2205058,spotify:track:3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo,2022-09-16
"QZL382406049,spotify:track:6XjDF6nds4DE2BBbagZol6,Gata Only,""FloyyMenor, Cris Mj"",2024-02-02"
USUM72317276,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),Ariana Grande,2024-03-08
"USSM12402041,spotify:track:2tudvzsrR56uom6smgOcSf,Like That,""Future, Metro Boomin, Kendrick Lamar"",2024-03-22"
USRC12301932,spotify:track:3rUGC1vUpkDG9CZFHMur1t,greedy,Tate McRae,2023-09-15
USWB12302315,spotify:track:17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,2023-09-15
USSM12401302,spotify:track:7wLShogStyDeZvL0a6daN5,TEXAS HOLD 'EM,Beyoncé,2024-03-29
