Country,Track Name,Artists
AE,we can't be friends (wait for your love),Ariana Grande
AE,Beautiful Things,Benson Boone
AE,End of Beginning,Djo
AE,CARNIVAL,"¥$, Kanye West, Ty Dolla $ign, Rich The Kid, Playboi Carti"
AE,Lose Control,Teddy Swims
AE,greedy,Tate McRae
AE,Cruel Summer,Taylor Swift
AE,Gata Only,"FloyyMenor, Cris Mj"
AE,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp"
AE,TEXAS HOLD 'EM,Beyoncé
AE,My Love Mine All Mine,Mitski
AE,Stick Season,Noah Kahan
AE,LUNA,"Feid, ATL Jacob"
AE,La Diabla,Xavi
AE,Saturn,SZA
AE,"yes, and?",Ariana Grande
AE,redrum,21 Savage
AE,the boy is mine,Ariana Grande
AE,FRI(END)S,V
AE,FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti"
AE,Madonna,"Natanael Cano, Oscar Maydon"
AE,Lovin On Me,Jack Harlow
AE,I Wanna Be Yours,Arctic Monkeys
AE,LA FALDA,Myke Towers
AE,Unwritten,Natasha Bedingfield
AE,The Night We Met,Lord Huron
AE,Houdini,Dua Lipa
AE,Training Season,Dua Lipa
AE,Scared To Start,Michael Marcagi
AE,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto"
AE,I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves"
AE,Water,Tyla
AE,PERRO NEGRO,"Bad Bunny, Feid"
AE,La Víctima,Xavi
AE,Strangers,Kenya Grace
AE,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
AE,Whatever She Wants,Bryson Tiller
AE,Starboy,"The Weeknd, Daft Punk"
AE,Like Crazy,Jimin
AE,Praise Jah In The Moonlight,YG Marley
AE,Lan,Zeynep Bastık
AE,QLONA,"KAROL G, Peso Pluma"
AE,bye,Ariana Grande
AE,eternal sunshine,Ariana Grande
AE,Standing Next to You,Jung Kook
AE,Flowers,Miley Cyrus
AE,intro (end of the world),Ariana Grande
AE,Popular (with Playboi Carti & Madonna),"The Weeknd, Playboi Carti, Madonna"
AE,Evergreen,Richy Mitch & The Coal Miners
AE,Austin,Dasha
AE,Mtg Quero Te Encontrar,"DJ JZ, Humberto & Ronaldo, Mc Mininin, Silvanno Salles, DJ LG PROD"
AE,End of Beginning,Djo
AE,smoke & a light,Ole 60
AE,She Know What She Wanted - Jersey Club Remix Slowed,"Godard, Ziahfyah"
AE,Maquillaje,"Renn, Yexel"
AE,Austin,Dasha
AE,Leaving the Lot,King Hendrick$
AE,Можно я с тобой,AP$ENT
AE,SC-9,Yahir Saldivar
AE,Kennedy'i Ben Vurdum,Wegh
AE,Blue Over You,Mason Ramsey
AE,Beautiful Things,Benson Boone
AE,✻H+3+ЯД✻7luCJIo0T6...,vyrval
AE,Tu és + Águas Purificadoras - Ao vivo,"fhop music, Débora Rabelo, Hamilton Rabelo"
AE,Wine Into Whiskey,Tucker Wetmore
AE,"Tshwala Bam (feat. S.N.E, EeQue)","TitoM, Yuppe, EeQue, S.N.E"
AE,Europapa,Joost
AE,Sadqay,"Aashir Wajahat, NAYEL, Nehaal Naseem"
AE,Gata Only,"FloyyMenor, Cris Mj"
AE,EL MATADOR (From the Netflix Rap Show “Nuova Scena”),Elmatadormc7
AE,Eva (feat. Tedua),"Kid Yugi, Tedua, Junior K"
AE,Belong Together,Mark Ambor
AE,100 MESSAGGI,Lazza
AE,¿Cómo Pasó?,Ela Taubert
AE,Accidente,Las Ligas Menores
AE,Qual é seu desejo?,"Tz da Coronel, Ryu, The Runner, Nagalli, Cúpula"
AE,Smart,LE SSERAFIM
AE,Stumblin' In,CYRIL
AE,CARNIVAL,"¥$, Kanye West, Ty Dolla $ign, Rich The Kid, Playboi Carti"
AE,Lilith,Kid Yugi
AE,Bling-Bang-Bang-Born,Creepy Nuts
AE,De 10 Mulher 11 É Maluca,"MC Saci, MC Fahah, DJ Sammer, Dj Lc"
AE,Yeah Glo!,GloRilla
AE,Little Bit Better,"Caleb Hearn, ROSIE"
AE,Irish Pub Song,The High Kings
AE,"ZEIT, DASS SICH WAS DREHT","$OHO BANI, Herbert Grönemeyer, Ericson"
AE,Kitchen Stove,Pozer
AE,MONTAGEM DIAMANTE ROSA - SLOWED,"vtze archive, Mc Ster"
AE,Lose Control,Teddy Swims
AE,Dono da Porsche (Bom Dia Princesa),MC Reino
AE,Sen Evlisin,Gülden Karaböcek
AE,Ve Haaniyaan,"Danny, Avvy Sra, Sagar"
AE,Whatever She Wants,Bryson Tiller
AE,Scared To Start,Michael Marcagi
AE,Praise Jah In The Moonlight,YG Marley
AE,Patadas de Ahogado / LATIN MAFIA - Rework,HUGEL
AE,X'CLUSIVO - REMIX,"Gonzy, SAIKO, Arcángel"
AE,VVS Switch,Pressure 9X19
AE,Deeper Well,Kacey Musgraves
AE,Saturn,SZA
AR,we can't be friends (wait for your love),Ariana Grande
AR,Beautiful Things,Benson Boone
AR,End of Beginning,Djo
AR,CARNIVAL,"¥$, Kanye West, Ty Dolla $ign, Rich The Kid, Playboi Carti"
AR,Lose Control,Teddy Swims
AR,greedy,Tate McRae
AR,Cruel Summer,Taylor Swift
AR,Gata Only,"FloyyMenor, Cris Mj"
AR,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp"
AR,TEXAS HOLD 'EM,Beyoncé
AR,My Love Mine All Mine,Mitski
AR,Stick Season,Noah Kahan
AR,LUNA,"Feid, ATL Jacob"
AR,La Diabla,Xavi
AR,Saturn,SZA
AR,"yes, and?",Ariana Grande
AR,redrum,21 Savage
AR,the boy is mine,Ariana Grande
AR,FRI(END)S,V
AR,FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti"
AR,Madonna,"Natanael Cano, Oscar Maydon"
AR,Lovin On Me,Jack Harlow
AR,I Wanna Be Yours,Arctic Monkeys
AR,LA FALDA,Myke Towers
AR,Unwritten,Natasha Bedingfield
AR,The Night We Met,Lord Huron
AR,Houdini,Dua Lipa
AR,Training Season,Dua Lipa
AR,Scared To Start,Michael Marcagi
AR,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto"
AR,I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves"
AR,Water,Tyla
AR,PERRO NEGRO,"Bad Bunny, Feid"
AR,La Víctima,Xavi
AR,Strangers,Kenya Grace
AR,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
AR,Whatever She Wants,Bryson Tiller
AR,Starboy,"The Weeknd, Daft Punk"
AR,Like Crazy,Jimin
AR,Praise Jah In The Moonlight,YG Marley
AR,Lan,Zeynep Bastık
AR,QLONA,"KAROL G, Peso Pluma"
AR,bye,Ariana Grande
